"","datetime","comp_level_ft","temperature","conductivity"
"193",2025-05-12 03:45:00,1.83098748799391,24.463,23732.4
"194",2025-05-12 04:00:00,1.82508197618288,24.407,23657.8
"195",2025-05-12 04:15:00,1.82163075389153,24.342,23588
"196",2025-05-12 04:30:00,1.82261500586003,24.289,23512.2
"197",2025-05-12 04:45:00,1.82852051767104,24.239,23444.9
"198",2025-05-12 05:00:00,1.82917668565005,24.188,23635.2
"199",2025-05-12 05:15:00,1.8293343872432,24.145,23322.6
"200",2025-05-12 05:30:00,1.8286782192642,24.103,23278
"201",2025-05-12 05:45:00,1.82424274500434,24.053,23216.8
"202",2025-05-12 06:00:00,1.83917690692824,24.004,23156.9
"203",2025-05-12 06:15:00,1.82982017282586,23.949,23089.8
"204",2025-05-12 06:30:00,1.83030595840852,23.878,23014
"205",2025-05-12 06:45:00,1.83489913426153,23.81,22940.7
"206",2025-05-12 07:00:00,1.82915132404366,23.755,22868
"207",2025-05-12 07:15:00,1.83472875186519,23.704,22817.7
"208",2025-05-12 07:30:00,1.8370253397917,23.665,22763
"209",2025-05-12 07:45:00,1.83423028547934,23.609,22698
"210",2025-05-12 08:00:00,1.82946672722997,23.553,22631.8
"211",2025-05-12 08:15:00,1.836684574999,23.514,22578.3
"212",2025-05-12 08:30:00,1.84193391883102,23.482,22542.7
"213",2025-05-12 08:45:00,1.83520185664464,23.43,22476.9
"214",2025-05-12 09:00:00,1.84915176660005,23.372,22416.1
"215",2025-05-12 09:15:00,1.84373204037168,23.309,22335.2
"216",2025-05-12 09:30:00,1.84701288026669,23.274,22295.8
"217",2025-05-12 09:45:00,1.84570054430868,23.272,22298.7
"218",2025-05-12 10:00:00,1.84192123802782,23.332,22367
"219",2025-05-12 10:15:00,1.84028081808032,23.447,22513.2
"220",2025-05-12 10:30:00,1.83798423015381,23.607,22678.5
"221",2025-05-12 10:45:00,1.82797132807242,23.728,22800.2
"222",2025-05-12 11:00:00,1.82797132807242,23.837,22907.5
"223",2025-05-12 11:15:00,1.83059599998843,23.934,23014.3
"224",2025-05-12 11:30:00,1.82633090812491,24.027,23127.6
"225",2025-05-12 11:45:00,1.82108156429289,24.116,23226.8
"226",2025-05-12 12:00:00,1.82453278658426,24.224,23350.7
"227",2025-05-12 12:15:00,1.81386371652385,24.334,23477.4
"228",2025-05-12 12:30:00,1.80828628870233,24.475,23631.5
"229",2025-05-12 12:45:00,1.81567451886772,24.622,23813.2
"230",2025-05-12 13:00:00,1.8104251750357,24.77,23969.3
"231",2025-05-12 13:15:00,1.80681625115118,24.911,24143.8
"232",2025-05-12 13:30:00,1.79795798343464,25.007,24252.8
"233",2025-05-12 13:45:00,1.80534621360002,25.1,24379.1
"234",2025-05-12 14:00:00,1.80584467998587,25.184,24495.7
