station,valid,altimeter,Date,Time,interval,baropressure_inHg,baropressure_kPa,equivalent_ft,equivalent_m
SBA,2025-06-22T04:15:00Z,29.84,2025-06-22,04:15:00,15,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
SBA,2025-06-22T04:20:00Z,29.85,2025-06-22,04:20:00,20,29.839378465545003,101.04777284193695,33.80583554758853,10.304043492237994
SBA,2025-06-22T04:30:00Z,29.85,2025-06-22,04:30:00,30,29.839378465545003,101.04777284193695,33.80583554758853,10.304043492237994
SBA,2025-06-22T04:40:00Z,29.85,2025-06-22,04:40:00,40,29.839378465545003,101.04777284193695,33.80583554758853,10.304043492237994
SBA,2025-06-22T04:45:00Z,29.86,2025-06-22,04:45:00,45,29.849374907242,101.08162469213525,33.81716078562793,10.307495433106416
SBA,2025-06-22T04:50:00Z,29.86,2025-06-22,04:50:00,50,29.849374907242,101.08162469213525,33.81716078562793,10.307495433106416
SBA,2025-06-22T05:00:00Z,29.86,2025-06-22,05:00:00,00,29.849374907242,101.08162469213525,33.81716078562793,10.307495433106416
SBA,2025-06-22T05:10:00Z,29.86,2025-06-22,05:10:00,10,29.849374907242,101.08162469213525,33.81716078562793,10.307495433106416
SBA,2025-06-22T05:15:00Z,29.87,2025-06-22,05:15:00,15,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-06-22T05:20:00Z,29.87,2025-06-22,05:20:00,20,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-06-22T05:30:00Z,29.87,2025-06-22,05:30:00,30,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-06-22T05:40:00Z,29.87,2025-06-22,05:40:00,40,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-06-22T05:45:00Z,29.87,2025-06-22,05:45:00,45,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-06-22T05:50:00Z,29.88,2025-06-22,05:50:00,50,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-06-22T06:00:00Z,29.88,2025-06-22,06:00:00,00,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-06-22T06:10:00Z,29.89,2025-06-22,06:10:00,10,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-06-22T06:15:00Z,29.89,2025-06-22,06:15:00,15,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-06-22T06:20:00Z,29.89,2025-06-22,06:20:00,20,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-06-22T06:30:00Z,29.89,2025-06-22,06:30:00,30,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-06-22T06:40:00Z,29.9,2025-06-22,06:40:00,40,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-06-22T06:45:00Z,29.91,2025-06-22,06:45:00,45,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-06-22T06:50:00Z,29.91,2025-06-22,06:50:00,50,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-06-22T07:00:00Z,29.91,2025-06-22,07:00:00,00,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-06-22T07:10:00Z,29.91,2025-06-22,07:10:00,10,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-06-22T07:15:00Z,29.92,2025-06-22,07:15:00,15,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-06-22T07:20:00Z,29.92,2025-06-22,07:20:00,20,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-06-22T07:30:00Z,29.92,2025-06-22,07:30:00,30,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-06-22T07:40:00Z,29.92,2025-06-22,07:40:00,40,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-06-22T07:45:00Z,29.92,2025-06-22,07:45:00,45,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-06-22T07:50:00Z,29.92,2025-06-22,07:50:00,50,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-06-22T08:00:00Z,29.93,2025-06-22,08:00:00,00,29.919349999121,101.31858764352336,33.89643745190367,10.331659019185363
SBA,2025-06-22T08:10:00Z,29.93,2025-06-22,08:10:00,10,29.919349999121,101.31858764352336,33.89643745190367,10.331659019185363
