station,valid,alti,Date,Time,interval,baropressure_inHg,baropressure_kPa,equivalent_ft,equivalent_m
SBA,2025-11-30T12:20:00Z,29.96,2025-11-30,12:20:00,20,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T12:30:00Z,29.96,2025-11-30,12:30:00,30,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T12:40:00Z,29.96,2025-11-30,12:40:00,40,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T12:50:00Z,29.96,2025-11-30,12:50:00,50,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T13:00:00Z,29.96,2025-11-30,13:00:00,00,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T13:10:00Z,29.96,2025-11-30,13:10:00,10,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T13:20:00Z,29.95,2025-11-30,13:20:00,20,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T13:30:00Z,29.95,2025-11-30,13:30:00,30,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T13:40:00Z,29.95,2025-11-30,13:40:00,40,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T13:50:00Z,29.95,2025-11-30,13:50:00,50,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T14:00:00Z,29.94,2025-11-30,14:00:00,00,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T14:10:00Z,29.94,2025-11-30,14:10:00,10,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T14:20:00Z,29.94,2025-11-30,14:20:00,20,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T14:30:00Z,29.94,2025-11-30,14:30:00,30,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T14:40:00Z,29.94,2025-11-30,14:40:00,40,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T14:50:00Z,29.94,2025-11-30,14:50:00,50,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T15:00:00Z,29.93,2025-11-30,15:00:00,00,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-11-30T15:10:00Z,29.93,2025-11-30,15:10:00,10,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-11-30T15:20:00Z,29.93,2025-11-30,15:20:00,20,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-11-30T15:30:00Z,29.94,2025-11-30,15:30:00,30,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T15:40:00Z,29.94,2025-11-30,15:40:00,40,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T15:50:00Z,29.94,2025-11-30,15:50:00,50,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T16:00:00Z,29.94,2025-11-30,16:00:00,00,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T16:10:00Z,29.94,2025-11-30,16:10:00,10,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T16:20:00Z,29.94,2025-11-30,16:20:00,20,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T16:30:00Z,29.94,2025-11-30,16:30:00,30,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T16:40:00Z,29.94,2025-11-30,16:40:00,40,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T16:50:00Z,29.94,2025-11-30,16:50:00,50,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T17:00:00Z,29.94,2025-11-30,17:00:00,00,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-11-30T17:10:00Z,29.95,2025-11-30,17:10:00,10,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T17:20:00Z,29.95,2025-11-30,17:20:00,20,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T17:30:00Z,29.95,2025-11-30,17:30:00,30,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T17:40:00Z,29.95,2025-11-30,17:40:00,40,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T17:50:00Z,29.95,2025-11-30,17:50:00,50,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T18:00:00Z,29.95,2025-11-30,18:00:00,00,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T18:10:00Z,29.95,2025-11-30,18:10:00,10,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T18:20:00Z,29.95,2025-11-30,18:20:00,20,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T18:30:00Z,29.95,2025-11-30,18:30:00,30,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T18:40:00Z,29.95,2025-11-30,18:40:00,40,29.94594440813666,101.4086167383255,33.92655695565701,10.340839466040528
SBA,2025-11-30T18:50:00Z,29.96,2025-11-30,18:50:00,50,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T19:00:00Z,29.96,2025-11-30,19:00:00,00,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T19:10:00Z,29.96,2025-11-30,19:10:00,10,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T19:20:00Z,29.96,2025-11-30,19:20:00,20,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T19:30:00Z,29.96,2025-11-30,19:30:00,30,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T19:40:00Z,29.96,2025-11-30,19:40:00,40,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T19:50:00Z,29.96,2025-11-30,19:50:00,50,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T20:00:00Z,29.96,2025-11-30,20:00:00,00,29.95594305401584,101.44247604274567,33.93788468752869,10.344292167030861
SBA,2025-11-30T20:10:00Z,29.97,2025-11-30,20:10:00,10,29.965941699895016,101.4763353471658,33.94921241940036,10.34774486802119
SBA,2025-11-30T20:20:00Z,29.97,2025-11-30,20:20:00,20,29.965941699895016,101.4763353471658,33.94921241940036,10.34774486802119
SBA,2025-11-30T20:30:00Z,29.97,2025-11-30,20:30:00,30,29.965941699895016,101.4763353471658,33.94921241940036,10.34774486802119
SBA,2025-11-30T20:40:00Z,29.97,2025-11-30,20:40:00,40,29.965941699895016,101.4763353471658,33.94921241940036,10.34774486802119
SBA,2025-11-30T20:50:00Z,29.98,2025-11-30,20:50:00,50,29.975940345774195,101.51019465158595,33.960540151272035,10.351197569011521
SBA,2025-11-30T21:00:00Z,29.98,2025-11-30,21:00:00,00,29.975940345774195,101.51019465158595,33.960540151272035,10.351197569011521
SBA,2025-11-30T21:10:00Z,29.98,2025-11-30,21:10:00,10,29.975940345774195,101.51019465158595,33.960540151272035,10.351197569011521
SBA,2025-11-30T21:20:00Z,29.98,2025-11-30,21:20:00,20,29.975940345774195,101.51019465158595,33.960540151272035,10.351197569011521
SBA,2025-11-30T21:30:00Z,29.98,2025-11-30,21:30:00,30,29.975940345774195,101.51019465158595,33.960540151272035,10.351197569011521
SBA,2025-11-30T21:40:00Z,29.98,2025-11-30,21:40:00,40,29.975940345774195,101.51019465158595,33.960540151272035,10.351197569011521
SBA,2025-11-30T21:50:00Z,29.99,2025-11-30,21:50:00,50,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T22:00:00Z,29.99,2025-11-30,22:00:00,00,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T22:10:00Z,29.99,2025-11-30,22:10:00,10,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T22:20:00Z,29.99,2025-11-30,22:20:00,20,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T22:30:00Z,29.99,2025-11-30,22:30:00,30,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T22:40:00Z,29.99,2025-11-30,22:40:00,40,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T22:50:00Z,30,2025-11-30,22:50:00,50,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T23:00:00Z,30,2025-11-30,23:00:00,00,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T23:10:00Z,30,2025-11-30,23:10:00,10,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T23:20:00Z,30,2025-11-30,23:20:00,20,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
